lafz	aeraab	qism	maani_en	kyun
شکار کردن		verb	to hunt	rishta:شکار
سره		adj	fine, excellent	platts
شیراز		noun	yoghurt drained of whey	arbi
کهف		noun	cave	arbi
مهمات		noun	ammunition	platts
خودرو		adj	self-seeded, self-seeding	platts
آلبالو		noun	sour cherry, morello cherry	platts
حزب	حِزْب	noun	party	arbi
پرده بکارت		noun	hymen	rishta:پردہ
پرستیدن		verb	to worship	platts
مسلح		adj	armed	arbi
کوشش کردن		verb	to try	rishta:کوشش
پاک کردن		verb	to clean	rishta:پاک
مجروح کردن		verb	to wound or seriously injure	rishta:کردن
پیدا کردن		verb	to find, to discover	rishta:پیدا
قبول کردن		verb	to accept	rishta:قبول
راضی کردن		verb	to satisfy	rishta:راضی
اصرار کردن		verb	to persist	rishta:اصرار
حمام کردن		verb	to bathe	rishta:حمام
حاضر کردن		verb	to prepare	rishta:حاضر
حساب کردن		verb	to calculate	rishta:حساب
درک کردن		verb	to understand intellectually; to get; to comprehend	rishta:کردن
اعلام کردن		verb	to announce, to declare	rishta:کردن
لازم داشتن		verb	to need	rishta:لازم
اضافه کردن	اِضافه کَردَن	verb	to add	rishta:اضافہ
کم کردن		verb	to reduce, to decrease	rishta:کم
باز کردن		verb	to open	rishta:باز
صبر کردن		verb	to wait	rishta:صبر
مغلوب کردن		verb	to defeat	rishta:کردن
دوست داشتن	دوسْت دَاشْتَن	verb	to like	rishta:دوست
دریافت کردن		verb	to receive (a message, etc.)	rishta:کردن
بو کردن		verb	to smell	rishta:بو
درخشیدن		verb	to shine; to luster; to sheen; to coruscate; to glister; to glint	platts
پرواز کردن		verb	to fly	rishta:پرواز
گریه کردن	گِرْیِه کَردَن	verb	to cry, to weep	rishta:کردن
فکر کردن		verb	to think	rishta:فکر
رد کردن		verb	to refuse, to reject, to veto	rishta:رد
کشف کردن		verb	to discover	rishta:کشف
سل		noun	tuberculosis	platts
حرف زدن	حَرْف زَدَن	verb	to talk; to speak	rishta:حرف
درک	دَرک	noun	perception	platts
روشن کردن		verb	to make clear	rishta:روشن
پیروزی		noun	victory	platts
بیرون		noun	the outside	platts
سالم		adj	healthy	platts
دویدن		verb	to run	platts
شرقی		adj	eastern	platts
جار		noun	proclamation, announcement	platts
گاری		noun	cart	platts
چرند		noun	quadruped	platts
انقلابی		adj	revolutionary	arbi
شورشی		noun	rebel	platts
کوچولو		adj	tiny; wee; dinky; little	platts
چک		noun	document	platts
دان		noun	grain	platts
دارچین		noun	cinnamon	platts
ادویه		noun	spice	platts
نمایش		noun	show, exposition, display, exhibition	platts
گروهی		noun	group	platts
تخم مرغ		noun	egg, literally chicken egg	rishta:تخم
تکثیر		noun	reproduction	platts
حکومت قانون		noun	the rule of law	rishta:حکومت
زنبور		noun	bee, hornet, wasp	arbi
بوته		noun	bush	arbi
عکاسی		noun	photography	platts
مرغ		noun	hen	platts
خشونت		noun	harshness	arbi
درد کردن		verb	to ache	rishta:درد
داداش		noun	brother	platts
کاروان	کارْوان	noun	caravan	platts
پرسش		noun	question	platts
تاجر		noun	merchant, businessman	arbi
تابع		noun	follower, dependent	platts
تاب		noun	heat, warmth	platts
داد		noun	justice, equity	platts
جدول		noun	table (as in a matrix or grid of data)	platts
بروت		noun	moustache	platts
جدا کردن		verb	to part	rishta:جدا
عجان		noun	perineum	platts
لبن		noun	milk	platts
چرخ		noun	wheel	platts
لعاب		noun	glaze, enamel	platts
بدبخت		adj	unfortunate, unlucky	platts
قایق		noun	boat	platts
قشون		noun	army	platts
قوش		noun	falcon	platts
قیصی		noun	apricot	platts
میانجی		noun	mediator	platts
مین		noun	hair	platts
یراق		noun	galloon, metal lace	platts
ابتکار		noun	initiative	platts
سم		noun	poison	platts
ورود		noun	arrival	platts
الهه		noun	goddess	arbi
سفید داشتن		verb	to long for someone	rishta:سفید
کلاه		noun	hat	platts
فراموش کردن		verb	to forget	rishta:فراموش
کولی		noun	gypsy	platts
پیمودن		verb	to measure	platts
قریه		noun	village	platts
طبل		noun	drum	platts
عزاداری		noun	mourning	platts
مکیدن		verb	to suck	platts
تر		adj	moist, wet	platts
گیاه		noun	grass	platts
چکیدن		verb	to drip	platts
کارمند		noun	office worker, clerk, white-collar worker	platts
کوچه		noun	alley, lane, kucheh	platts
سرما خوردن		verb	to catch a cold	rishta:سرما
چنگ		noun	lyre, harp	platts
باقلوا		noun	baklava	platts
متن		noun	text, document	platts
کدام		pron	which	platts
تورم	تَوَرُّم	noun	inflation	platts
قیف		noun	funnel	platts
کلیمی		adj	Mosaic	platts
اعلام		noun	announcement, declaration	platts
دیوانگی		noun	madness	platts
نشر کردن		verb	to publish	rishta:نشر
موبد		noun	mobad, a Zoroastrian priest	platts
عکاس	عَکّاس	noun	photographer	platts
شقایق		noun	poppy, wild poppy, field poppy	platts
شمسی		adj	solar	platts
قمری		adj	lunar	platts
درمان		noun	remedy, cure	platts
درمان کردن		verb	to remedy	rishta:کردن
پسوند		noun	suffix	platts
حفظ کردن		verb	to memorize	rishta:کردن
مترادف		noun	synonym	arbi
مشابه		adj	similar	platts
معرفی کردن		verb	to introduce	rishta:کردن
اجرا کردن		verb	to carry out; to execute; to enforce	rishta:اجرا
مأمور		noun	official, officer, delegate, functionary, agent	platts
مأموریت		noun	order	platts
کاملا	کاملاً	adv	perfectly	platts
افسون		noun	incantation	platts
جزء		noun	part, piece	platts
نفس		noun	breath	platts
ثور		noun	bull	platts
سرفه کردن		verb	to cough	rishta:کردن
یازده		num	eleven	arbi
حقوق بشر	حُقوقِ بَشَر	noun	human rights	rishta:حقوق
بشر	بَشَر	noun	human	platts
دیدبان		noun	observer, watchman, look-out	arbi
خاویار		noun	caviar	platts
چرا		adv	why	platts
کاه		noun	chaff	platts
لیگ		noun	league (football etc.)	platts
کارد		noun	knife	platts
ترشی		noun	sourness	platts
ویژه		adj	special	arbi
مطبوعات		noun	the press	arbi
آنجا		adv	there	platts
ظهور کردن		verb	to appear	rishta:ظہور
بعد از		prep	after	platts
بعدا	بعداً	adv	afterwards, later	platts
عصر	عَصْر	noun	afternoon	platts
قبلا	قبلاً	adv	previously, beforehand	platts
همدردی		noun	sympathy	platts
ناگاه		adv	suddenly	platts
زود		adj	early	platts
حاکم		adj	ruling; governing	platts
تماشا کردن	تَماشا کَردَن	verb	to see	rishta:تماشا
زیبایی		noun	beauty	arbi
ژاله باریدن		verb	to hail	rishta:ژالہ
باریدن		verb	to rain	platts
برف باریدن		verb	to snow	rishta:برف
اشک باریدن		verb	to cry, weep	rishta:اشک
ژاویدن		verb	to ruminate	platts
ژرفا		noun	depth	platts
ژم		noun	midwife	platts
افسوس خوردن		verb	to regret	rishta:افسوس
غصه خوردن		verb	to be sad	rishta:غصہ
ایستادن		verb	to stand up	platts
عبد	عَبْد	noun	slave	platts
لور		noun	whey cheese, a dairy product made of whey	platts
خوهر		noun	sister	platts
ارادت		noun	devotion	platts
ضخیم		adj	thick (of size or a layer, relatively large)	arbi
خزه		noun	moss	arbi
نارنگ		noun	bitter orange	platts
پاییدن		verb	to protect, guard	platts
پاشنا		noun	the heel	platts
هشت		num	eight	platts
ارن		noun	the elbow, the arm	platts
نجاست		noun	filth	platts
نجس		adj	unclean	platts
نبرد		noun	battle, fight, combat	platts
جواب دادن		verb	to answer, to reply	rishta:جواب
پارس		noun	a pard	platts
هذر		noun	otter; beaver	arbi
آشتی		noun	reconciliation	platts
احتمالا		adv	probably	arbi
آذربایجانی		adj	Azerbaijani, Azeri	arbi
آذری		adj	Azerbaijani, Azeri	platts
سرب		noun	lead (chemical element)	platts
کول		noun	ditch	platts
زه		noun	spring of water; water source	arbi
اشنان		noun	saltwort	platts
مات		adj	amazed	platts
غربال		noun	sieve, riddle, cribble, strainer, sifter	platts
شبح		noun	figure seen from a distance; silhouette	platts
مهشید		noun	the moon	platts
